Country,2021,2020,2019,2018,2017,2016,2015,2014,2013
Nigeria,231.26,191.82,235.42,200.82,230.76,409.23,635.93,713.26,713.8
Pakistan,231.94,220.65,238.27,277.28,300.86,286.81,258.59,279.71,259.98
Nepal,252.19,237.04,207.76,222.77,202.74,174.55,183.18,150.91,182.52
Sri Lanka,258.91,264.72,294,279.69,273.7,259.5,262.35,296.12,374.24
Algeria,260.71,274.11,283.83,267.48,318.82,303.4,341.54,435.69,370.55
Dominican Republic,272.69,313.07,414.78,361.04,332.13,360.83,459,380.16,529.69
Egypt,279.48,244.53,225.09,175.52,155.52,299.14,339.88,289.09,254.07
Tunisia,320.5,281.97,295.52,319.21,269.59,316.09,315.2,423.61,377.18
Bangladesh,320.83,287.09,356.6,341.85,335.67,345.24,327.56,358.94,360.82
Azerbaijan,341.12,296.9,335,283.14,243.86,292.95,414.21,713.92,529.33
Philippines,351.68,318.98,326.9,300.88,394.04,374.05,335.58,414.82,351.83
Georgia,361.19,340.27,286.17,320.94,317.98,309.95,235.01,344.59,303.64
Indonesia,363.46,361.01,348.28,299.41,432.66,336.31,347.7,318.88,376.39
Brazil,372.84,367.79,481.65,469.16,572.36,545.56,552.09,796.18,830.93
Colombia,380.62,305.35,350.87,353.66,362.95,355.15,384.6,541.3,478.75
Argentina,390.07,524.48,604.28,762.75,930.02,899.58,1039.06,1132.7,980.44
Belarus,424.91,426.77,467.77,442.97,389.09,344.91,354.58,520.59,529.74
Morocco,431.83,442.88,422.43,412.94,456.5,421.7,409.95,526.88,340.14
Turkey,438.36,453.23,477.54,527.98,638.29,723.91,699.4,781.69,846.3
Kazakhstan,455.64,453.81,426.1,421.62,415.06,407.26,731.76,757.19,753.49
Peru,469.35,430.7,494.94,458.93,434.24,531.36,515.32,469.48,450.46
Ecuador,482.22,462.71,571.82,520.21,477.5,450.61,501.07,403.75,352.6
Kenya,483.06,400.23,383.14,374.7,328.02,317.5,306.38,421.65,478.41
Albania,487.28,398.64,369.95,366.49,330.31,290.66,303.18,428,414.4
Vietnam,505.18,438.11,390.45,408.15,440.02,323.77,262.17,248.08,307.51
Ukraine,524.6,414.46,408.92,319.71,251.45,211.62,202.36,257.64,442.82
Jordan,545.08,632.93,624.02,648.94,628.99,626.59,614.06,628.11,661.64
India,579.72,492.2,521.83,535.11,617.76,557.67,558.23,531.13,511.58
Mexico,590.97,494.85,558.05,494.1,575.74,549.27,714.34,783.44,770.88
Iraq,592.78,550.79,612.44,549.2,570.7,723.63,724.08,679.91,524.15
Serbia,626.64,512.75,466.23,433.38,389.66,387.88,368.37,504.05,503.62
Russia,654.59,637.91,636.73,649.47,704.45,548.43,654.82,872.49,827.15
Thailand,659.25,619.19,648.16,648.2,586.53,574.71,504.35,531.49,581.64
Bosnia And Herzegovina,663.03,660.52,499.54,503.15,463.89,486.52,442.88,555.56,518.95
Chile,683.33,619.8,714.82,863.16,730.06,779.47,897.03,967.78,944.39
