Country,2021,2020,2019,2018,2017,2016,2015,2014,2013
Albania,20.52,20.2,21.54,22.56,18.77,17.11,15.98,21.79,21.75
Algeria,40.05,47.51,23.47,26.09,39.27,39.6,38.23,35.51,36.41
Argentina,23.88,29.12,32.3,46.08,48.05,37.14,42.57,32.47,35.19
Australia,58.17,50.21,50.94,55.1,54.91,51.51,53.35,66.85,64.26
Austria,43.05,36.28,35.06,35.35,27.07,23.98,22.55,27,26.08
Azerbaijan,15.52,19.62,17.7,14.11,13.54,14.17,19.37,33.15,34.17
Bahrain,48.15,58.43,57.64,41.48,47,33.01,39.26,42.74,54.39
Bangladesh,36.1,30.14,29.06,28.14,22.45,38.23,46.36,46.33,38.69
Belarus,12.74,11.89,14.39,13.86,12.02,9.5,11.18,19.61,20.16
Belgium,57.96,50.71,50.53,53.29,46.28,45.03,42.68,46.72,45.5
Bosnia And Herzegovina,26.62,23.89,25.24,24.95,19.83,15,14.85,17.35,17.59
Brazil,20.74,20.95,30.36,33.22,33.29,24.27,24.42,33.42,36.51
Bulgaria,13.26,12.11,12.16,11.87,9.76,8.91,8.34,10.53,11.25
Canada,66.29,55.35,54.59,56.09,50.67,46.68,45.45,47.09,48.02
Chile,33.24,31.4,36.81,42.09,39.74,34.62,37.12,48.9,38.89
China,15.27,12.9,14.8,16.05,14.35,16.1,19.94,16.69,19.61
Colombia,26.59,28.46,32.77,35.23,31.35,25.79,31.21,34.81,33.13
Costa Rica,53.14,54.13,63.02,73.04,52.85,47.88,46.44,58.61,60.94
Croatia,28.24,27.51,25.01,26.15,24.84,24.07,23.34,27.45,25.33
Cyprus,40.36,43.36,43.91,47.62,41.92,34.11,38.44,46.42,41.13
Czech Republic,21.71,20,20.96,21.42,18.76,16.18,15.72,19.56,19.88
Denmark,39.74,38.54,37.3,36.97,35.43,28.45,28.03,34.76,29.99
Dominican Republic,65.23,46.23,55.8,59.26,44.55,48.95,45.27,66.99,64.67
Ecuador,39.42,42.6,41.54,38.8,35.87,34.02,38.3,43.3,52.49
Egypt,18.81,17.12,17.87,16.37,18.62,45.98,55.84,50.15,51.86
Estonia,29.71,25.93,26.56,25.59,22.57,17.45,16.92,21.68,24.24
Finland,25.65,24.97,26.66,28.36,22.41,21.25,20.06,24.06,28.43
France,36.49,30.83,31.26,32.96,29.55,30.15,30.35,36.5,36.91
Georgia,14.12,15.14,16.44,16.86,14.63,12.59,10.46,13.42,18
Germany,41.78,36.51,35.43,35.48,30.68,27.55,25.65,31.29,29.03
Greece,40.47,36.33,34.92,36.14,26.54,23.48,21.03,25.73,24.77
Hong Kong,26,24.53,24.41,28.08,25.24,28.07,25.47,25.05,25.48
Hungary,15.63,15.2,14.69,15.37,15.13,14.77,14.14,18.26,15.38
Iceland,78.41,71.4,68.26,68.48,62.94,54.6,58.56,63.7,67.94
India,10.69,11.26,12.08,14.02,17.11,18.37,19.9,21.19,21.32
Indonesia,33.39,29.64,31.34,31.09,29.08,26.62,26.36,32.61,37.01
Iraq,39.73,37.55,48.87,40.12,41.03,42.94,56.07,54.38,52.89
Ireland,58.25,57.34,58.98,58.96,52.81,47.73,42.45,45.7,46.62
Israel,30.37,26.8,26.28,25.4,24.77,21.45,21.26,22.5,24.61
Italy,35.13,32.02,32.67,32.32,29.8,30.42,29.17,35.1,32.85
Japan,42.07,43.05,44.97,42.81,37.75,37.92,34.1,37.61,37.77
Jordan,39.8,44.58,43.21,45.37,49.5,41.72,41.44,42.58,42.33
Kazakhstan,12.35,11.81,11.59,12.47,12.34,12.62,21.61,22.42,27.89
Kenya,59.26,49.37,59.06,61.74,50.06,42.06,45.2,56.04,41.86
Latvia,18.25,16.8,18.28,17.56,15.38,13.53,12.55,14.35,17.26
Lebanon,52.96,51.28,59.35,44.96,48.05,57.88,55.57,61.34,58.22
Lithuania,14.79,12.23,12.43,12.67,11.49,10.78,9.39,11.82,12.03
Luxembourg,69.24,59.96,53.25,55.47,50.38,43.06,42.08,49.26,38.96
Malaysia,28.31,28.22,29.42,37.75,39.24,39.42,44.35,45,46.54
Malta,41.8,34.74,41.68,37.17,32.04,25.91,24.18,28.24,29.22
