Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.66122693,93.54245387,97.17,,,,
Africa Eastern and Southern,AFE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0015987650680518509,0.004664310522064212,0.013608980126955899,0.029658347180323504,0.08121621873131687,0.10634894191574629,0.20205576996555544,0.36779037767697603,0.5441457562141622,0.7439216792708764,0.9307795195223061,1.1068960770605345,1.4081897600801112,1.692749812865035,1.7945128936002823,2.060876466669218,2.9002857345647906,2.702876403944346,3.2197002535655925,5.319106521389386,6.833853452605704,8.575521852242511,10.189313321226225,12.304789040151576,14.625663586815856,15.894355226586322,18.240059821440617,21.70069538078843,24.3046584734269,27.35030790005316,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4.0,5.0,5.454545455,5.9,7.0,8.26,11.0,13.5,16.8,17.6,18.4,
Africa Western and Central,AFW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,4.301623890676298e-06,0.00012851217441402208,0.007034948041273629,0.01984229463067807,0.03542445633650977,0.08623884871270275,0.1389606533809055,0.20959643027655972,0.41106080342468077,0.6572851589441353,1.1778649675598616,2.326741165990966,3.463236377581349,4.240173769575472,4.991565454908277,5.807960732632316,7.242095796842875,8.66331049088811,10.29344666564279,12.577170348838173,14.934061831056896,18.192286878927607,20.926632407053624,24.663586926696386,29.338368034708864,31.78586051268223,34.1281366860391,
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13.0,21.4,22.0,23.2,26.0,29.0,32.4,36.0,
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45.0,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039112,72.24,
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81.0,81.0,82.7,84.4,86.1,87.9,89.7,91.56746703,,,,
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0008926390452879756,0.0028156053019303792,0.014112854875262938,0.03846126197160222,0.13548815918212667,0.2706041691516387,0.6158446056435688,1.1658872432097696,1.5903685912646506,2.7274039195448276,3.686682404125865,7.081958009181207,8.464300594271439,11.696707304433232,14.227543251732456,18.59709614810419,21.568667153008512,25.871113009007964,27.755281775042103,31.099621154350416,34.2468815613596,37.95201950158618,41.86635892256776,43.36102836124081,48.39656004538833,54.482750567388244,61.442269114715224,68.86595790524238,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.102939175,0.375393534,3.295592694,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40.0,52.0,61.0,63.0,64.0,68.0,78.0,84.9999915,88.0,90.4,90.5,90.60000732,94.81992254,98.45000178,99.14999998,100.0,
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34.0,45.0,51.0,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,77.7,79.9,85.5,
